tray_no,sample,type,pF,MPa,temp_C,date,tray_wt_g,tray_moist_wt_g,tray_od_wt_g,,
5,K025,f,6.1,-120.51,24.8,3/23/2022,24.57,25.97,25.91,1.34,3.02
6,K025,f,6.08,-115.25,24.8,3/23/2022,24.31,26.04,25.99,1.68,
7,K017,f,6.11,-124.96,24.8,3/23/2022,24.71,36.4,26.42,1.71,3.7
8,K017,f,6.11,-125.01,24.8,3/23/2022,24.42,26.44,26.41,1.99,
5,K018,f,6.29,-187.14,24.8,4/4/2022,24.57,26.73,?,,
6,K018,f,6.31,-196.9,24.8,4/4/2022,24.31,25.52,,,
5,K011,f,6.23,-163.92,24.7,4/19/2022,24.57,26.22,26.18,1.61,3.38
6,K011,f,6.09,-119.68,24.7,4/19/2022,24.31,26.13,26.08,1.77,
7,K004,f,6.14,-134.52,24.6,4/19/2022,24.71,26.33,26.29,1.58,3.54
8,K004,f,5.45,-26.09,24.8,4/19/2022,24.42,26.51,26.38,1.96,
1,K009,f,6.07,-114.26,24.5,4/19/2022,24.36,26.02,25.97,1.61,3.09
2,K009,f,5.61,-39.17,24.3,4/19/2022,24.42,26.03,25.9,1.48,
14,K008,f,6.15,-137.25,22.9,4/20/2022,23.55,25.64,25.62,2.07,3.9
20,K008,f,5.98,-91.93,23.5,4/20/2022,22.68,24.54,24.51,1.83,
1,K007,f,6.19,-148.75,24.8,5/17/2022,24.36,25.78,25.73,1.37,3.66
3,K007,f,5.71,-49.02,24.4,5/17/2022,24.5,26.95,26.79,2.29,
13,K010,f,6.2,-154.19,24.9,5/17/2022,23.45,24.96,24.92,1.47,2.52
16,K010,f,4.91,-8.53,24.4,5/17/2022,24.87,26.06,25.92,1.05,
5,K013,f,6.26,-174.18,24.6,5/17/2022,24.56,26.88,26.86,2.3,3.82
14,K013,f,6.18,-146.08,24.6,5/17/2022,23.53,25.08,25.05,1.52,
6,K044,f,6.27,-177.92,24.9,5/17/2022,24.3,25.43,25.39,1.09,2.96
8,K044,f,6.01,-99.33,24.9,5/17/2022,24.42,26.39,26.29,1.87,
5,K021,f,6.11,-124.25,24.8,6/13/2022,24.57,26.14,26.1,1.53,3.69
6,K021,f,5.75,-54.45,24.9,6/13/2022,24.31,26.59,26.47,2.16,
8,K038,f,6.06,-110.87,24.8,6/13/2022,24.42,26.89,26.84,2.42,5.24
16,K038,f,5.44,-26.67,24.9,6/13/2022,24.87,27.87,27.69,2.82,
13,K056,f,6.05,-108.81,24.9,6/13/2022,23.45,25.4,25.31,1.86,2.92
14,K056,f,5.47,-28.52,24.9,6/13/2022,23.55,24.74,24.61,1.06,
5,K024,f,5.95,-86.11,24.8,6/21/2022,24.57,26.49,26.46,1.89,2.42
13,K024,f,5.54,-33.85,24.9,6/21/2022,23.45,24.04,23.98,0.53,
13,K011_T,f,5.91,-79.28,24.6,7/11/2022,23.45,27.84,27.72,0.12,0.26
14,K011_T,f,5.89,-74.35,24.6,7/11/2022,23.55,27.69,27.58,0.14,
3,K004_T,f,5.87,-72.41,24.8,7/11/2022,24.5,26.25,26.11,,
5,K004_T,f,5.1,-12.03,25,7/11/2022,24.57,27.57,27.11,,
6,K008_T,f,5.85,-68.22,24.9,7/14/2022,24.31,25.16,25.06,,
16,K008_T,f,5.32,-20.03,24.9,7/14/2022,24.87,26.22,25.95,,
