"File","sample_label","region","site","transect","tree_number","horizon","Quartz","Albite","Microcline","Muscovite","Clinochlore","Pyrite","Halite","Gypsum"
"001","COMPASS_Dec2021_001","WLE","PR","upland","1","A",63,8.8,7.2,21,0,0,0,0
"002","COMPASS_Dec2021_002","WLE","PR","upland","2","A",61,8.3,8,17,5.4,0,0,0
"010","COMPASS_Dec2021_010","WLE","PR","transition","11","A",51,9.8,9.7,30,0,0,0,0
"011","COMPASS_Dec2021_011","WLE","PR","transition","12","A",52,7.8,5.7,25,10,0,0,0
"023","COMPASS_Dec2021_023","WLE","PR","wc","L5","A",41,7.5,6.3,33,12,0,0,0
"024","COMPASS_Dec2021_024","WLE","PR","wc","L6","A",34,5.1,6.7,40,14,0,0,0
"034","COMPASS_Dec2021_034","WLE","CC","upland","201","A",58,9,8.6,18,6.2,0,0,0
"035","COMPASS_Dec2021_035","WLE","CC","upland","202","A",67,10,6.5,17,0,0,0,0
"044","COMPASS_Dec2021_044","WLE","CC","transition","212","A",50,7.3,7,26,9.4,0,0,0
"045","COMPASS_Dec2021_045","WLE","CC","transition","213","A",46,8,5.8,30,11,0,0,0
"052","COMPASS_Dec2021_052","WLE","CC","wc","W1","A",37,5.2,5.8,38,13,0,0,0
"058","COMPASS_Dec2021_058","WLE","CC","wc","W7","A",37,6.1,7.7,37,12,0,0,0
"061","COMPASS_Dec2021_061","WLE","OWC","upland","101","A",63,15,7.2,15,0,0,0,0
"062","COMPASS_Dec2021_062","WLE","OWC","upland","102","A",55,16,14,11,2.8,0,0,0
"070","COMPASS_Dec2021_070","WLE","OWC","transition","120","A",58,12,11,13,5.9,0,0,0
"071","COMPASS_Dec2021_071","WLE","OWC","transition","121","A",64,12,7.8,16,0,0,0,0
"072","COMPASS_Dec2021_072","WLE","OWC","transition","122","A",60,9.6,7.2,17,6.3,0,0,0
"073","COMPASS_Dec2021_073","WLE","OWC","transition","123","A",59,10,6.7,18,6.4,0,0,0
"074","COMPASS_Dec2021_074","WLE","OWC","transition","124","A",58,11,6.2,18,7.3,0,0,0
"075","COMPASS_Dec2021_075","WLE","OWC","transition","125","A",58,11,4.9,17,8.2,0,0,0
"076","COMPASS_Dec2021_076","WLE","OWC","transition","126","A",64,12,8.9,15,0,0,0,0
"077","COMPASS_Dec2021_077","WLE","OWC","transition","127","A",57,13,7.7,17,5.4,0,0,0
"078","COMPASS_Dec2021_078","WLE","OWC","transition","128","A",56,9.9,6.7,19,7.6,0,0,0
"079","COMPASS_Dec2021_079","WLE","OWC","wte","W1","A",58,10,6.9,17,7.8,0,0,0
"080","COMPASS_Dec2021_080","WLE","OWC","wte","W2","A",58,12,7.6,16,6.5,0,0,0
"088","COMPASS_Dec2021_088","WLE","OWC","wc","WC1","A",56,9,5.7,22,8,0,0,0
"089","COMPASS_Dec2021_089","WLE","OWC","wc","WC2","A",55,8.2,6.9,22,8.1,0,0,0
"097","COMPASS_Dec2021_097","WLE","PR","upland","2","B",55,6.5,6.4,23,8.8,0,0,0
"107","COMPASS_Dec2021_107","WLE","OWC","upland","101","B",62,14,8.4,12,3.4,0,0,0
"108","COMPASS_Dec2021_108","WLE","OWC","upland","105","B",64,14,9.5,7.1,5.2,0,0,0
"112","COMPASS_Dec2021_112","WLE","OWC","transition","120","B",54,13,6.8,18,8.2,0,0,0
"113","COMPASS_Dec2021_113","WLE","OWC","transition","121","B",59,11,8.6,17,4.9,0,0,0
"129","COMPASS_May22_129","CB","MSM","upland","401","O",82,6.7,1.3,9.6,0,0,0,0
"130","COMPASS_May22_130","CB","MSM","upland","402","O",79,6.9,3.1,11,0,0,0,0
"139","COMPASS_May22_139","CB","MSM","transition","411","O",60,1,0,39,0,0,0,0
"140","COMPASS_May22_140","CB","MSM","transition","412","O",60,0,0.1,40,0,0,0,0
"146","COMPASS_May22_146","CB","MSM","wc","W2","O",53,0,0,0,0,0,18,0
"154","COMPASS_May22_154","CB","MSM","upland","401","A",81,5.7,4.9,8.2,0,0,0,0
"156","COMPASS_May22_156","CB","MSM","upland","401","B",78,7.7,7,7.1,0,0,0,0
"157","COMPASS_May22_157","CB","MSM","upland","402","B",80,7.1,5.5,7.6,0,0,0,0
"164","COMPASS_May22_164","CB","MSM","transition","409","B",74,8.2,6.9,9.1,1.7,0,0,0
"165","COMPASS_May22_165","CB","MSM","transition","410","B",77,8.2,7.3,4.5,2.5,0,0,0
"174","COMPASS_May22_174","CB","GWI","upland","642","O",78,5.8,0.1,16,0,0,0,0
"175","COMPASS_May22_175","CB","GWI","upland","647","O",81,8,0,11,0,0,0,0
"180","COMPASS_May22_180","CB","GWI","transition","162","O",78,2.5,0,20,0,0,0,0
"183","COMPASS_May22_183","CB","GWI","transition","766","O",59,1,0,40,0,0,0,0
"188","COMPASS_May22_188","CB","GWI","wc","W1","O",65,1.7,1.4,17,0,0,15,0
"189","COMPASS_May22_189","CB","GWI","wc","W2","O",76,1.7,2.1,6.4,10,0,4.1,0
"196","COMPASS_May22_196","CB","GWI","upland","622","A",84,3.5,4.9,7.5,0,0,0,0
"197","COMPASS_May22_197","CB","GWI","upland","633","A",88,3.2,4.7,4.6,0,0,0,0
"206","COMPASS_May22_206","CB","GWI","transition","164","A",93,2.2,0.6,3.9,0,0,0,0
"212","COMPASS_May22_212","CB","GWI","upland","622","B",87,4.2,2.8,5,0,0,0.6,0
"215","COMPASS_Aug22_215","CB","GCREW","upland","C12","A",81,2.2,4.9,12,0,0,0,0
"223","COMPASS_Aug22_223","CB","GCREW","transition","L1","A",72,1.5,4.1,22,0,0,0,0
"233","COMPASS_Aug22_233","CB","GCREW","wc","W3","A",44,0,4.3,37,0,3.4,4.4,0
"239","COMPASS_Aug22_239","CB","GCREW","upland","C12","B",84,1,3.2,12,0,0,0,0
"248","COMPASS_Aug22_248","CB","GCREW","transition","L2","B",73,1.5,4,21,0,0,0,0
